atletas.atleta_id,atletas.apelido,Posição,G,A,FT,FD,FF,FS,PS,PE,I,PP,DS,FC,GC,CA,CV,PC,SG,DE,DP,GS,Finalizacoes_Totais,Finalizacoes_Perigosas,Participação_Gols,Índice_Defensivo,pontos_fantasy,Eficiência_Chute
111829,Kayky,ATA,33.0,32.0,0.0,111.0,40.0,173.0,47.0,0,19.0,0.0,241.0,139.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,111.0,65.0,102.0,928.3000000000001,0.2185430463576159
111831,Matheus Martins,ATA,20.0,0.0,0.0,204.0,64.0,405.0,0.0,0,0.0,0.0,211.0,215.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,204.0,20.0,-4.0,796.2,0.07462686567164178
111832,Jefté,LAT,0.0,16.0,0.0,0.0,15.0,18.0,0.0,0,0.0,0.0,31.0,61.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,15.0,0.0,16.0,5.0,294.9,0.0
111951,Renzo López,ATA,23.0,0.0,16.0,91.0,105.0,213.0,10.0,0,67.0,0.0,133.0,295.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,107.0,23.0,-162.0,539.1,0.10849056603773585
112060,João Victor,ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112616,Gabriel Grando,GOL,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,12.0,265.0,0.0,79.0,0.0,0.0,0.0,12.0,161.5,0.0
112709,Kaiki Bruno,LAT,15.0,98.0,6.0,148.0,336.0,831.0,0.0,0,6.0,0.0,1822.0,1357.0,0.0,201.0,0.0,2.0,309.0,0.0,0.0,0.0,490.0,154.0,113.0,774.0,4610.6,0.030612244897959183
112863,Ramón Sosa,ATA,28.0,44.0,15.0,39.0,163.0,165.0,21.0,0,49.0,0.0,17.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,54.0,72.0,-92.0,752.5,0.12903225806451613
112869,Aníbal Moreno,MEI,0.0,12.0,0.0,66.0,159.0,154.0,0.0,0,0.0,0.0,804.0,359.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,66.0,12.0,445.0,1104.5,0.0
112886,Lucas Barbosa,ATA,37.0,75.0,31.0,309.0,415.0,720.0,6.0,0,188.0,0.0,1230.0,1233.0,0.0,125.0,29.0,0.0,0.0,0.0,0.0,0.0,755.0,340.0,112.0,-3.0,2708.1,0.04900662251655629
112906,Sforza,MEI,0.0,0.0,0.0,0.0,15.0,38.0,0.0,0,0.0,0.0,82.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,105.1,0.0
113034,Freytes,ZAG,0.0,0.0,25.0,105.0,239.0,302.0,23.0,0,34.0,0.0,362.0,346.0,0.0,115.0,20.0,0.0,174.0,0.0,0.0,0.0,369.0,130.0,0.0,190.0,1588.3999999999999,0.0
113073,Kervin Andrade,MEI,0.0,15.0,0.0,30.0,17.0,41.0,0.0,0,17.0,0.0,56.0,47.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,30.0,15.0,9.0,170.50000000000003,0.0
113078,Mancuso,LAT,12.0,30.0,0.0,85.0,183.0,438.0,0.0,0,49.0,0.0,625.0,394.0,0.0,86.0,0.0,0.0,108.0,0.0,0.0,0.0,268.0,85.0,42.0,339.0,1794.3,0.04477611940298507
113103,Flaco López,ATA,198.0,20.0,0.0,302.0,722.0,1000.0,54.0,0,185.0,0.0,652.0,930.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,302.0,218.0,-278.0,3554.9,0.193359375
113157,Nathan Mendes,LAT,0.0,17.0,0.0,0.0,27.0,309.0,16.0,0,17.0,0.0,210.0,151.0,0.0,50.0,0.0,0.0,40.0,0.0,0.0,0.0,27.0,0.0,17.0,99.0,632.1,0.0
113158,Marquinhos,ATA,0.0,0.0,0.0,48.0,171.0,191.0,0.0,0,0.0,0.0,183.0,130.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,48.0,0.0,53.0,445.5,0.0
113359,Pablo Maia,MEI,18.0,0.0,19.0,5.0,65.0,380.0,0.0,0,0.0,0.0,325.0,482.0,0.0,75.0,0.0,28.0,0.0,0.0,0.0,0.0,89.0,24.0,18.0,-157.0,591.4,0.20224719101123595
113397,Cristian Olivera,ATA,94.0,0.0,0.0,194.0,210.0,650.0,0.0,0,58.0,0.0,649.0,535.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,194.0,94.0,114.0,2029.3000000000002,0.23267326732673269
113462,Lenny Lobato,ATA,0.0,0.0,0.0,9.0,30.0,22.0,0.0,0,9.0,0.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,9.0,0.0,-18.0,49.400000000000006,0.0
113687,Du Queiroz,MEI,0.0,0.0,0.0,14.0,63.0,0.0,0.0,0,0.0,0.0,157.0,178.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,77.0,14.0,0.0,-21.0,183.2,0.0
113690,Diógenes,GOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0
114311,Douglas Mendes,ZAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114334,Gamarra,ZAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,148.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,129.5,0.0
114400,Brahimi,ATA,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,16.8,0.0
114405,Sinisterra,ATA,21.0,2.0,0.0,32.0,6.0,41.0,0.0,0,0.0,0.0,74.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,32.0,23.0,49.0,323.0,0.5526315789473685
114790,Cleiton,ZAG,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0,0.0,0.0,48.0,12.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,176.0,0.0
114802,Vitor Roque,ATA,248.0,55.0,10.0,375.0,351.0,1510.0,0.0,0,274.0,0.0,684.0,657.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,385.0,303.0,27.0,4290.1,0.33695652173913043
115025,Miguelito,MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115100,Matheus França,ATA,0.0,0.0,0.0,32.0,27.0,27.0,0.0,0,0.0,0.0,74.0,61.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,32.0,0.0,13.0,137.0,0.0
115141,Lucas Freitas,ZAG,24.0,0.0,0.0,0.0,82.0,264.0,17.0,0,0.0,0.0,270.0,349.0,0.0,42.0,0.0,17.0,53.0,0.0,0.0,0.0,82.0,0.0,24.0,-26.0,831.9,0.2926829268292683
115239,Wesley,LAT,1.0,17.0,0.0,7.0,38.0,231.0,0.0,0,15.0,0.0,217.0,170.0,0.0,33.0,0.0,0.0,62.0,0.0,0.0,0.0,45.0,7.0,18.0,109.0,732.2,0.022222222222222223
115246,Naves,ZAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0
115248,Jhon Jhon,MEI,143.0,100.0,32.0,227.0,311.0,1217.0,0.0,0,50.0,0.0,516.0,612.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,259.0,243.0,-96.0,3134.3,0.25087719298245614
